ano,mes,dia,Acidentes
2023,1,1,199
2023,1,2,180
2023,1,3,167
2023,1,4,161
2023,1,5,141
2023,1,6,146
2023,1,7,179
2023,1,8,198
2023,1,9,182
2023,1,10,118
2023,1,11,130
2023,1,12,154
2023,1,13,177
2023,1,14,179
2023,1,15,195
2023,1,16,147
2023,1,17,140
2023,1,18,127
2023,1,19,149
2023,1,20,193
2023,1,21,172
2023,1,22,170
2023,1,23,139
2023,1,24,122
2023,1,25,148
2023,1,26,154
2023,1,27,159
2023,1,28,187
2023,1,29,192
2023,1,30,153
2023,1,31,139
2023,2,1,105
2023,2,2,157
2023,2,3,165
2023,2,4,208
2023,2,5,172
2023,2,6,163
2023,2,7,131
2023,2,8,138
2023,2,9,152
2023,2,10,168
2023,2,11,196
2023,2,12,202
2023,2,13,164
2023,2,14,129
2023,2,15,143
2023,2,16,149
2023,2,17,182
2023,2,18,220
2023,2,19,211
2023,2,20,136
2023,2,21,133
2023,2,22,164
2023,2,23,128
2023,2,24,150
2023,2,25,132
2023,2,26,173
2023,2,27,146
2023,2,28,163
2023,3,1,123
2023,3,2,160
2023,3,3,182
2023,3,4,197
2023,3,5,199
2023,3,6,150
2023,3,7,152
2023,3,8,153
2023,3,9,165
2023,3,10,184
2023,3,11,188
2023,3,12,215
2023,3,13,163
2023,3,14,145
2023,3,15,165
2023,3,16,153
2023,3,17,175
2023,3,18,215
2023,3,19,203
2023,3,20,188
2023,3,21,155
2023,3,22,158
2023,3,23,146
2023,3,24,171
2023,3,25,194
2023,3,26,195
2023,3,27,171
2023,3,28,141
2023,3,29,144
2023,3,30,143
2023,3,31,198
2023,4,1,212
2023,4,2,202
2023,4,3,148
2023,4,4,143
2023,4,5,161
2023,4,6,200
2023,4,7,209
2023,4,8,167
2023,4,9,208
2023,4,10,184
2023,4,11,133
2023,4,12,140
2023,4,13,134
2023,4,14,199
2023,4,15,171
2023,4,16,199
2023,4,17,191
2023,4,18,144
2023,4,19,161
2023,4,20,212
2023,4,21,185
2023,4,22,157
2023,4,23,188
2023,4,24,178
2023,4,25,170
2023,4,26,164
2023,4,27,156
2023,4,28,229
2023,4,29,207
2023,4,30,185
2023,5,1,202
2023,5,2,143
2023,5,3,146
2023,5,4,147
2023,5,5,183
2023,5,6,205
2023,5,7,152
2023,5,8,185
2023,5,9,144
2023,5,10,142
2023,5,11,185
2023,5,12,178
2023,5,13,226
2023,5,14,228
2023,5,15,153
2023,5,16,137
2023,5,17,134
2023,5,18,162
2023,5,19,187
2023,5,20,208
2023,5,21,190
2023,5,22,153
2023,5,23,139
2023,5,24,151
2023,5,25,171
2023,5,26,194
2023,5,27,223
2023,5,28,199
2023,5,29,161
2023,5,30,144
2023,5,31,160
2023,6,1,165
2023,6,2,184
2023,6,3,218
2023,6,4,188
2023,6,5,175
2023,6,6,142
2023,6,7,189
2023,6,8,189
2023,6,9,172
2023,6,10,192
2023,6,11,236
2023,6,12,182
2023,6,13,152
2023,6,14,161
2023,6,15,155
2023,6,16,194
2023,6,17,205
2023,6,18,210
2023,6,19,161
2023,6,20,153
2023,6,21,176
2023,6,22,154
2023,6,23,206
2023,6,24,213
2023,6,25,181
2023,6,26,167
2023,6,27,164
2023,6,28,161
2023,6,29,182
2023,6,30,185
2023,7,1,239
2023,7,2,206
2023,7,3,172
