ano,mes,dia,Acidentes
2020,1,1,210
2020,1,2,190
2020,1,3,185
2020,1,4,182
2020,1,5,171
2020,1,6,156
2020,1,7,137
2020,1,8,156
2020,1,9,164
2020,1,10,194
2020,1,11,192
2020,1,12,209
2020,1,13,183
2020,1,14,144
2020,1,15,147
2020,1,16,177
2020,1,17,192
2020,1,18,200
2020,1,19,216
2020,1,20,170
2020,1,21,161
2020,1,22,172
2020,1,23,172
2020,1,24,157
2020,1,25,198
2020,1,26,201
2020,1,27,177
2020,1,28,148
2020,1,29,150
2020,1,30,140
2020,1,31,166
2020,2,1,192
2020,2,2,227
2020,2,3,179
2020,2,4,160
2020,2,5,175
2020,2,6,177
2020,2,7,222
2020,2,8,203
2020,2,9,196
2020,2,10,160
2020,2,11,175
2020,2,12,152
2020,2,13,163
2020,2,14,186
2020,2,15,197
2020,2,16,222
2020,2,17,192
2020,2,18,148
2020,2,19,168
2020,2,20,182
2020,2,21,229
2020,2,22,261
2020,2,23,216
2020,2,24,160
2020,2,25,185
2020,2,26,181
2020,2,27,131
2020,2,28,164
2020,2,29,196
2020,3,1,211
2020,3,2,186
2020,3,3,171
2020,3,4,145
2020,3,5,154
2020,3,6,219
2020,3,7,214
2020,3,8,230
2020,3,9,194
2020,3,10,182
2020,3,11,158
2020,3,12,173
2020,3,13,213
2020,3,14,215
2020,3,15,188
2020,3,16,180
2020,3,17,161
2020,3,18,163
2020,3,19,148
2020,3,20,165
2020,3,21,122
2020,3,22,107
2020,3,23,67
2020,3,24,96
2020,3,25,71
2020,3,26,75
2020,3,27,99
2020,3,28,100
2020,3,29,125
2020,3,30,87
2020,3,31,94
2020,4,1,118
2020,4,2,91
2020,4,3,114
2020,4,4,142
2020,4,5,132
2020,4,6,131
2020,4,7,112
2020,4,8,120
2020,4,9,152
2020,4,10,100
2020,4,11,133
2020,4,12,128
2020,4,13,122
2020,4,14,116
2020,4,15,115
2020,4,16,121
2020,4,17,144
2020,4,18,164
2020,4,19,145
2020,4,20,113
2020,4,21,105
2020,4,22,109
2020,4,23,118
2020,4,24,143
2020,4,25,151
2020,4,26,146
2020,4,27,144
2020,4,28,145
2020,4,29,111
2020,4,30,131
2020,5,1,144
2020,5,2,133
2020,5,3,147
2020,5,4,128
2020,5,5,128
2020,5,6,160
2020,5,7,141
2020,5,8,163
2020,5,9,164
2020,5,10,186
2020,5,11,126
2020,5,12,128
2020,5,13,147
2020,5,14,112
2020,5,15,164
2020,5,16,176
2020,5,17,150
2020,5,18,140
2020,5,19,125
2020,5,20,101
2020,5,21,147
2020,5,22,171
2020,5,23,167
2020,5,24,156
2020,5,25,127
2020,5,26,128
2020,5,27,141
2020,5,28,136
2020,5,29,160
2020,5,30,195
2020,5,31,198
2020,6,1,132
2020,6,2,160
2020,6,3,122
2020,6,4,138
2020,6,5,192
2020,6,6,186
2020,6,7,184
2020,6,8,177
2020,6,9,138
2020,6,10,163
2020,6,11,156
2020,6,12,159
2020,6,13,152
2020,6,14,156
2020,6,15,140
2020,6,16,128
2020,6,17,152
2020,6,18,137
2020,6,19,178
2020,6,20,193
2020,6,21,173
2020,6,22,142
2020,6,23,136
2020,6,24,139
2020,6,25,138
2020,6,26,170
2020,6,27,167
2020,6,28,175
2020,6,29,137
2020,6,30,142
2020,7,1,127
2020,7,2,156
2020,7,3,169
2020,7,4,211
2020,7,5,157
2020,7,6,141
2020,7,7,134
2020,7,8,153
2020,7,9,138
2020,7,10,189
2020,7,11,207
2020,7,12,192
2020,7,13,141
2020,7,14,143
2020,7,15,141
2020,7,16,131
2020,7,17,199
2020,7,18,188
2020,7,19,199
2020,7,20,156
2020,7,21,136
2020,7,22,136
2020,7,23,145
2020,7,24,176
2020,7,25,193
2020,7,26,187
2020,7,27,171
2020,7,28,135
2020,7,29,131
2020,7,30,156
2020,7,31,198
2020,8,1,199
2020,8,2,220
2020,8,3,181
2020,8,4,136
2020,8,5,173
2020,8,6,137
2020,8,7,208
2020,8,8,222
2020,8,9,238
2020,8,10,155
2020,8,11,151
2020,8,12,176
2020,8,13,148
2020,8,14,186
2020,8,15,214
2020,8,16,196
