ano,mes,dia,Acidentes
2007,1,1,420
2007,1,2,515
2007,1,3,366
2007,1,4,314
2007,1,5,357
2007,1,6,333
2007,1,7,309
2007,1,8,283
2007,1,9,283
2007,1,10,247
2007,1,11,285
2007,1,12,364
2007,1,13,395
2007,1,14,341
2007,1,15,309
2007,1,16,310
2007,1,17,260
2007,1,18,278
2007,1,19,321
2007,1,20,375
2007,1,21,387
2007,1,22,333
2007,1,23,269
2007,1,24,281
2007,1,25,306
2007,1,26,388
2007,1,27,387
2007,1,28,412
2007,1,29,365
2007,1,30,324
2007,1,31,285
2007,2,1,310
2007,2,2,335
2007,2,3,411
2007,2,4,357
2007,2,5,298
2007,2,6,329
2007,2,7,309
2007,2,8,344
2007,2,9,358
2007,2,10,387
2007,2,11,410
2007,2,12,353
2007,2,13,289
2007,2,14,330
2007,2,15,316
2007,2,16,530
2007,2,17,599
2007,2,18,350
2007,2,19,265
2007,2,20,312
2007,2,21,373
2007,2,22,284
2007,2,23,287
2007,2,24,283
2007,2,25,301
2007,2,26,294
2007,2,27,292
2007,2,28,303
2007,3,1,290
2007,3,2,349
2007,3,3,324
2007,3,4,324
2007,3,5,286
2007,3,6,263
2007,3,7,280
2007,3,8,295
2007,3,9,360
2007,3,10,343
2007,3,11,384
2007,3,12,312
2007,3,13,286
2007,3,14,282
2007,3,15,303
2007,3,16,379
2007,3,17,403
2007,3,18,375
2007,3,19,290
2007,3,20,286
2007,3,21,308
2007,3,22,299
2007,3,23,332
2007,3,24,346
2007,3,25,337
2007,3,26,247
2007,3,27,245
2007,3,28,299
2007,3,29,268
2007,3,30,341
2007,3,31,391
2007,4,1,340
2007,4,2,261
2007,4,3,316
2007,4,4,347
2007,4,5,546
2007,4,6,332
2007,4,7,287
2007,4,8,645
2007,4,9,388
2007,4,10,254
2007,4,11,255
2007,4,12,310
2007,4,13,367
2007,4,14,362
2007,4,15,319
2007,4,16,287
2007,4,17,266
2007,4,18,291
2007,4,19,319
2007,4,20,375
2007,4,21,417
2007,4,22,391
2007,4,23,290
2007,4,24,315
2007,4,25,308
2007,4,26,313
2007,4,27,419
2007,4,28,431
2007,4,29,340
2007,4,30,277
2007,5,1,300
2007,5,2,275
2007,5,3,268
2007,5,4,357
2007,5,5,348
2007,5,6,352
2007,5,7,319
2007,5,8,312
2007,5,9,307
2007,5,10,305
2007,5,11,349
2007,5,12,388
2007,5,13,457
2007,5,14,322
2007,5,15,270
2007,5,16,310
2007,5,17,288
2007,5,18,346
2007,5,19,418
2007,5,20,363
2007,5,21,287
2007,5,22,293
2007,5,23,333
2007,5,24,281
2007,5,25,353
2007,5,26,361
2007,5,27,404
2007,5,28,283
2007,5,29,284
2007,5,30,283
2007,5,31,305
2007,6,1,434
2007,6,2,402
2007,6,3,407
2007,6,4,282
2007,6,5,326
2007,6,6,370
2007,6,7,367
2007,6,8,319
2007,6,9,333
2007,6,10,393
2007,6,11,316
2007,6,12,259
2007,6,13,270
2007,6,14,281
2007,6,15,411
2007,6,16,358
2007,6,17,317
2007,6,18,276
2007,6,19,283
2007,6,20,317
2007,6,21,335
2007,6,22,420
2007,6,23,379
2007,6,24,392
2007,6,25,367
2007,6,26,275
2007,6,27,306
2007,6,28,332
2007,6,29,414
2007,6,30,388
2007,7,1,322
2007,7,2,325
2007,7,3,275
2007,7,4,273
2007,7,5,294
2007,7,6,424
2007,7,7,459
2007,7,8,437
2007,7,9,348
2007,7,10,309
2007,7,11,337
2007,7,12,346
2007,7,13,376
2007,7,14,394
2007,7,15,434
2007,7,16,390
2007,7,17,326
2007,7,18,291
2007,7,19,311
2007,7,20,404
2007,7,21,344
2007,7,22,436
2007,7,23,321
2007,7,24,349
2007,7,25,314
2007,7,26,285
2007,7,27,471
2007,7,28,424
2007,7,29,409
2007,7,30,301
2007,7,31,278
2007,8,1,308
2007,8,2,311
2007,8,3,354
2007,8,4,409
2007,8,5,364
2007,8,6,296
2007,8,7,309
2007,8,8,301
2007,8,9,304
2007,8,10,394
2007,8,11,410
2007,8,12,437
2007,8,13,280
2007,8,14,275
2007,8,15,293
2007,8,16,287
2007,8,17,351
2007,8,18,363
2007,8,19,412
2007,8,20,312
2007,8,21,280
2007,8,22,268
2007,8,23,291
2007,8,24,315
2007,8,25,368
2007,8,26,344
2007,8,27,261
2007,8,28,306
2007,8,29,300
2007,8,30,291
2007,8,31,402
2007,9,1,356
2007,9,2,324
2007,9,3,311
2007,9,4,294
2007,9,5,331
2007,9,6,487
2007,9,7,504
2007,9,8,349
2007,9,9,480
2007,9,10,335
2007,9,11,284
2007,9,12,248
2007,9,13,270
2007,9,14,328
2007,9,15,368
2007,9,16,359
2007,9,17,355
2007,9,18,301
2007,9,19,282
2007,9,20,358
2007,9,21,432
2007,9,22,371
2007,9,23,392
2007,9,24,306
2007,9,25,265
2007,9,26,303
2007,9,27,291
